docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
njp.32101068604006,"Sterne, Laurence",1810.0,,,0.8180652785343591,enk,f,268,Fiction
mdp.39015056033494,"Morgan, (Sydney), Lady",1811.0,v.1,1.0,0.0,enk,m,244,Fiction
mdp.39015073310586,"Defoe, Daniel",1811.0,,,0.8385664209517677,enk,m,160,Fiction
mdp.39015021233401,"Lawrence, James Henry",1811.0,v.1,1.0,0.8644498208904706,enk,m,282,Fiction
mdp.39015074634620,"Addison, Joseph",1811.0,v.1,1.0,0.9631456931589,enk,m,532,Fiction
uc1.b3548239,"Disraeli, Isaac",1811.0,v.2,2.0,0.5878657899749313,enk,m,262,Fiction
uc1.b3326182,"Nares, Edward",1811.0,v. 1,1.0,0.4404934793385176,enk,m,242,Fiction
uiuo.ark+=13960=t9d516b21,"Moriarty, Henrietta Maria",1811.0,v.1,1.0,0.854464757954903,enk,f,252,Fiction
njp.32101066459882,"Goulburn, Edward",1811.0,,,0.0,enk,m,774,Fiction
uiuo.ark+=13960=t97663t4q,"Holstein, Anthony Frederick",1811.0,v.1,1.0,0.2052164865644772,enk,m,248,Fiction
uiuo.ark+=13960=t49p3jr5m,", Lady",1811.0,v.1,1.0,0.0274685621076243,enk,unknown,238,Fiction
uiuo.ark+=13960=t9w09nn61,"Palmer, John",1811.0,v.1,1.0,0.2100759378095496,enk,m,308,Fiction
uiuo.ark+=13960=t9r21h94b,,1811.0,v.1,1.0,0.0456531003439026,enk,unknown,250,Fiction
uiuo.ark+=13960=t6543c86j,"Rhodes, Henrietta",1811.0,v.1,1.0,0.2376533572762502,enk,f,230,Fiction
uiuo.ark+=13960=t5v701797,"Palmer, Alicia Tindal",1811.0,v.1,1.0,0.0810068372246182,enk,f,420,Fiction
uiuo.ark+=13960=t49p39n8t,"Ashe, Thomas",1811.0,v.1,1.0,0.4234760029764191,enk,m,248,Fiction
uiuo.ark+=13960=t3ws98c3q,"Parker, Emma",1811.0,v.1,1.0,0.031242129406177,enk,f,404,Fiction
njp.32101072790536,Madame de. C,1811.0,vol.1,1.0,0.0,enk,unknown,238,Fiction
uiuo.ark+=13960=t7tm7wf13,C,1811.0,v.2,2.0,0.4968329061825485,enk,unknown,246,Fiction
hvd.hxkelx,"Brunton, Mary",1811.0,v.1,1.0,0.0,stk,f,322,Fiction
hvd.hxg8pq,"Moore, George",1811.0,v.2,2.0,0.2830251284128218,enk,m,476,Fiction
mdp.39015063977220,"Stuart, Augusta Amelia",1812.0,v.1,1.0,0.0828703615350018,enk,f,274,Fiction
uiuo.ark+=13960=t9f485w89,"Edgeworth, Maria",1812.0,v.1,1.0,0.1225336735967843,enk,f,434,Fiction
uiuo.ark+=13960=t9668zn86,"Edgeworth, Maria",1812.0,v.2,2.0,0.1792032709794456,enk,f,402,Fiction
uiuo.ark+=13960=t7jq1gs3v,"Edgeworth, Maria",1812.0,v.5,5.0,0.0,enk,f,404,Fiction
uc1.$b286471,,1812.0,,,0.4664780714870603,enk,unknown,214,Fiction
uc1.$b287477,"Opie, Amelia Alderson",1812.0,v. 1,1.0,0.11490856494441,enk,f,338,Fiction
nnc1.0315131394,"Maturin, Charles Robert",1812.0,v.1,1.0,0.0,enk,m,244,Fiction
nyp.33433069632945,"Weber, Henry",1812.0,v. 1,1.0,0.3428757682142375,stk,m,578,Fiction
nyp.33433069632952,"Weber, Henry",1812.0,v. 2,2.0,0.3686762644191526,stk,m,796,Fiction
nyp.33433069632960,"Weber, Henry",1812.0,v. 3,3.0,0.3701367745243014,stk,m,826,Fiction
uiuo.ark+=13960=t5z615j7x,"Stanhope, Louisa Sidney",1812.0,v.1,1.0,0.0301577126284507,enk,f,292,Fiction
uiuo.ark+=13960=t5m90s59z,"Moriarty, H. M",1812.0,v.1,1.0,0.2846706314702057,enk,unknown,238,Fiction
uiuo.ark+=13960=t3qv4352q,"Nares, Edward",1812.0,v.1,1.0,0.0,enk,m,252,Fiction
uiuo.ark+=13960=t45q5ks5b,West,1812.0,v.1,1.0,0.0,enk,unknown,380,Fiction
mdp.39015059389588,"Barrett, Eaton Stannard",1813.0,v.1,1.0,0.2113328870700518,enk,unknown,266,Fiction
uc2.ark+=13960=t3cz38c6z,"Temple, Edmond",1813.0,,,0.7685603221987357,enk,m,386,Fiction
nyp.33433004999748,"Crabbe, George",1813.0,v. 2,2.0,0.4484927908517653,enk,m,252,Fiction
uiuo.ark+=13960=t25b0fv2w,"Cuthbertson, Catherine",1813.0,v.1,1.0,0.1411607985424554,enk,f,444,Fiction
uiuo.ark+=13960=t09w1328x,"Parker, Emma",1813.0,v.1,1.0,0.0,enk,f,364,Fiction
uiuo.ark+=13960=t0sq9gk7c,"Plumptre, Anne",1813.0,v.1,1.0,0.3781151618195986,enk,f,328,Fiction
uiuo.ark+=13960=t9j39d90p,"Smith, Julia Bernard",1813.0,v.1,1.0,0.5542294101076107,enk,f,316,Fiction
uiuo.ark+=13960=t5z61419r,,1813.0,v.1,1.0,0.0377010647858034,enk,unknown,280,Fiction
njp.32101068164134,,1813.0,,,0.0290808214128467,enk,unknown,750,Fiction
njp.32101013133523,"Roche, Regina Maria",1813.0,v.1,1.0,0.0235380548680362,enk,f,286,Fiction
njp.32101037977566,"Cuthbertson, Catherine",1813.0,vol.1,1.0,0.1586727935995395,enk,f,446,Fiction
njp.32101046807218,"Sykes, S, Mrs",1813.0,v.1-2,1.0,0.0,enk,unknown,504,Fiction
